,num_topics,alpha,beta,coherence
0,2.0,0.01,0.01,0.247987789856331
1,2.0,0.01,0.31,0.27705795238732833
2,2.0,0.01,0.61,0.4699673994672494
3,2.0,0.01,0.9099999999999999,0.42718535499332067
4,2.0,0.01,symmetric,0.4981207392853306
5,2.0,0.31,0.01,0.24687358393468173
6,2.0,0.31,0.31,0.2598162182624594
7,2.0,0.31,0.61,0.2241463121314189
8,2.0,0.31,0.9099999999999999,0.27614499788811475
9,2.0,0.31,symmetric,0.32382622162294206
10,2.0,0.61,0.01,0.23582720990262906
11,2.0,0.61,0.31,0.21395731617656538
12,2.0,0.61,0.61,0.24666839784001604
13,2.0,0.61,0.9099999999999999,0.27642256326962655
14,2.0,0.61,symmetric,0.2576016012318142
15,2.0,0.9099999999999999,0.01,0.2749499439725097
16,2.0,0.9099999999999999,0.31,0.261066533270669
17,2.0,0.9099999999999999,0.61,0.20371527122411875
18,2.0,0.9099999999999999,0.9099999999999999,0.2732115416255394
19,2.0,0.9099999999999999,symmetric,0.2327480881029301
20,2.0,symmetric,0.01,0.2626269762928871
21,2.0,symmetric,0.31,0.2656627894509755
22,2.0,symmetric,0.61,0.2693218993969025
23,2.0,symmetric,0.9099999999999999,0.2880296800883837
24,2.0,symmetric,symmetric,0.2653543051324292
25,2.0,asymmetric,0.01,0.4152309610812277
26,2.0,asymmetric,0.31,0.22958165758944016
27,2.0,asymmetric,0.61,0.2421362476320344
28,2.0,asymmetric,0.9099999999999999,0.25416246890044936
29,2.0,asymmetric,symmetric,0.22705068827056618
30,3.0,0.01,0.01,0.4949914206018085
31,3.0,0.01,0.31,0.4131322813401666
32,3.0,0.01,0.61,0.46904620665437613
33,3.0,0.01,0.9099999999999999,0.49692702759784196
34,3.0,0.01,symmetric,0.4911791403319319
35,3.0,0.31,0.01,0.4470165632302174
36,3.0,0.31,0.31,0.46763462941106204
37,3.0,0.31,0.61,0.3467855922410112
38,3.0,0.31,0.9099999999999999,0.49392284953538973
39,3.0,0.31,symmetric,0.37874376690217565
40,3.0,0.61,0.01,0.2992068530260878
41,3.0,0.61,0.31,0.3725897215762825
42,3.0,0.61,0.61,0.32756595069774724
43,3.0,0.61,0.9099999999999999,0.2787688822252878
44,3.0,0.61,symmetric,0.37240464293593073
45,3.0,0.9099999999999999,0.01,0.30253887233562704
46,3.0,0.9099999999999999,0.31,0.28848889247607373
47,3.0,0.9099999999999999,0.61,0.23815327232841296
48,3.0,0.9099999999999999,0.9099999999999999,0.43819652951809623
49,3.0,0.9099999999999999,symmetric,0.2943176408921269
50,3.0,symmetric,0.01,0.37535344929705233
51,3.0,symmetric,0.31,0.38807638377089687
52,3.0,symmetric,0.61,0.4568623149908997
53,3.0,symmetric,0.9099999999999999,0.49417667174905083
54,3.0,symmetric,symmetric,0.4644001767145351
55,3.0,asymmetric,0.01,0.44141277618463476
56,3.0,asymmetric,0.31,0.45540296702549776
57,3.0,asymmetric,0.61,0.4941394332894958
58,3.0,asymmetric,0.9099999999999999,0.4091224144247246
59,3.0,asymmetric,symmetric,0.375496610924384
60,4.0,0.01,0.01,0.4134266211229428
61,4.0,0.01,0.31,0.445484342850746
62,4.0,0.01,0.61,0.3754904068275834
63,4.0,0.01,0.9099999999999999,0.39777110942876015
64,4.0,0.01,symmetric,0.473121093545505
65,4.0,0.31,0.01,0.4111899247206608
66,4.0,0.31,0.31,0.4524620039027386
67,4.0,0.31,0.61,0.43245891767868083
68,4.0,0.31,0.9099999999999999,0.3161907539974845
69,4.0,0.31,symmetric,0.42715465410579345
70,4.0,0.61,0.01,0.28809089077054706
71,4.0,0.61,0.31,0.36504596560294106
72,4.0,0.61,0.61,0.4132197500671338
73,4.0,0.61,0.9099999999999999,0.2734427627459507
74,4.0,0.61,symmetric,0.36207939838207015
75,4.0,0.9099999999999999,0.01,0.27237523000982566
76,4.0,0.9099999999999999,0.31,0.308964148335791
77,4.0,0.9099999999999999,0.61,0.31763054401612467
78,4.0,0.9099999999999999,0.9099999999999999,0.3511700873145924
79,4.0,0.9099999999999999,symmetric,0.2674554511035255
80,4.0,symmetric,0.01,0.33772731074279816
81,4.0,symmetric,0.31,0.39821070469151143
82,4.0,symmetric,0.61,0.3581355334191794
83,4.0,symmetric,0.9099999999999999,0.3072191380573761
84,4.0,symmetric,symmetric,0.43114225698807823
85,4.0,asymmetric,0.01,0.47190069191616324
86,4.0,asymmetric,0.31,0.2798880563853619
87,4.0,asymmetric,0.61,0.47230732808368825
88,4.0,asymmetric,0.9099999999999999,0.4538274393389121
89,4.0,asymmetric,symmetric,0.4366727508875009
